PrefTaxon	12543267.A01S66	28475012.A02S69	Gblock.A03S96	NTC.A04S28	POS.A05S23
Cymbella cistula var. maculata	0	0	0	0	0
Cymbella cuspidata	0	0	0	0	0
Cymbella cymbiformis	0	0	0	0	0
Cymbella delicatula	0	0	0	0	0
Cymbella descripta	0	0	0	0	0
Cymbella elginensis	0	0	0	0	0
Cymbella excisa	0	0	0	0	0
Cymbella falaisensis	0	0	0	0	0
Cymbella gaeumannii	0	0	0	0	0
Cymbella gracilis	0	0	0	0	0
Cymbella hebridica	0	0	0	0	0
Cymbella helvetica	116	0	0	0	0
Cymbella heterogibbosa	0	0	0	0	0
Cymbella hustedtii	0	0	0	0	0
Cymbella incerta	0	0	0	0	0
Cymbella janischii	0	0	0	0	0
Cymbella lacustris	0	0	0	0	0
Cymbella laevis	0	0	0	0	0
Cymbella lanceolata	0	0	0	0	0
Cymbella lapponica	0	0	0	0	0
Cymbella leptoceros	0	0	0	0	0
Cymbella leptoceros var. angusta	0	0	0	0	0
Cymbella lunata	0	0	0	0	0
Cymbella mesiana	0	0	0	0	0
Cymbella mexicana	0	0	0	0	0
Cymbella microcephala	0	0	0	0	0
Cymbella microcephala form microcephala	0	0	0	0	0
Cymbella minuta	0	0	0	0	0
Cymbella minuta var. silesiaca	0	0	0	0	0
Cymbella naviculiformis	0	0	0	0	0
Cymbella perpusilla	0	0	0	0	0
Cymbella prostrata	0	0	0	0	0
Cymbella proxima	0	2	0	0	1
Cymbella pusilla	0	0	0	0	0
Cymbella reichardtii	0	0	0	0	0
Cymbella reinhardtii	0	0	0	0	0
Cymbella rupicola var. rostrata	0	0	0	0	0
Cymbella scotica var. naviculacea	0	0	0	0	0
Cymbella silesiaca	0	0	0	0	0
Cymbella sinuata	0	0	0	0	0
Cymbella stuxbergia	0	0	0	0	0
Cymbella subaequalis	0	0	0	0	0
Cymbella tumida	0	0	0	0	809
Cymbella turgidula	0	0	0	0	0
Cymbellonitzschia diluviana	0	0	0	0	0
Cymbopleura	0	0	0	0	0
Cymbopleura amphicephala	0	0	0	0	0
Cymbopleura cuspidata	0	0	0	0	0
Cymbopleura inaequalis	0	0	0	0	0
Cymbopleura incerta	0	0	0	0	0
Cymbopleura lapponica	0	0	0	0	0
Cymbopleura naviculiformis	0	0	0	0	0
Cymbopleura reinhardtii	0	0	0	0	0
Cymbopleura subaequalis	0	0	0	0	0
Cymbopleura subcuspidata	0	0	0	0	0
Decussata placenta	0	0	0	0	0
Delicata delicatula	0	0	0	0	0
Delphineis	0	0	0	0	0
Delphineis minutissima	0	0	0	0	0
Denticula	0	0	0	0	0
Denticula elegans	0	0	0	0	0
Denticula kuetzingii	0	0	0	0	0
Denticula subtilis	0	0	0	0	0
Denticula tenuis	0	0	0	0	0
Denticula thermalis	0	0	0	0	0
Detonula confervacaea	0	0	0	0	0
Detonula pumila	0	0	0	0	0
Diadesmis	0	0	0	0	0
Diadesmis confervacea	0	0	0	0	0
Diadesmis contenta	0	0	0	0	0
Diadesmis contenta var. biceps	0	0	0	0	0
Diadesmis gallica	0	0	0	0	0
Diatoma	0	0	0	0	0
Diatoma ehrenbergii	0	0	0	0	0
Diatoma elongatum	0	0	0	0	0
Diatoma hyemale	0	0	0	0	0
Diatoma hyemale var. mesodon	0	0	0	0	0
Diatoma mesodon	0	0	0	0	0
Diatoma moniliforme	0	0	0	0	0
Diatoma moniliformis	4054	124	0	0	0
Diatoma problematica	0	0	0	0	0
Diatoma tenue	410	13	0	0	0
Diatoma tenue var. elongatum	0	0	0	0	0
Diatoma vulgare	1844	0	0	0	96
Diatoma vulgare agg.	0	0	0	0	0
Diatoma vulgare var. ehrenbergii	0	0	0	0	0
Diatomella balfouriana	0	0	0	0	0
Didymosphenia	0	0	0	0	0
Didymosphenia dentata	0	0	0	0	0
Didymosphenia geminata	0	0	0	0	0
Dimeregramma dubium	0	0	0	0	0
Diploneis	0	0	0	0	0
Diploneis elliptica	0	0	0	0	0
Diploneis finnica	0	0	0	0	0
Diploneis hyalina	0	0	0	0	0
Diploneis marginestriata	0	0	0	0	0
Diploneis modica	0	0	0	0	0
Diploneis oblongella var. gibbosa	0	0	0	0	0
Diploneis oculata	0	0	0	0	0
Diploneis ovalis	0	0	0	0	0
Diploneis parma	0	0	0	0	0
Diploneis petersenii	0	0	0	0	0
Diploneis smithii	0	0	0	0	0
Diploneis subconstricta fo. alpina	0	0	0	0	0
Diploneis subovalis	0	0	0	0	0
Discostella	0	0	0	0	0
Discostella pseudostelligera	0	0	0	0	0
Ellerbeckia	0	0	0	0	0
Ellerbeckia arenaria	0	0	0	0	0
Encyonema	2	39	0	0	15
Encyonema alpinum	0	0	0	0	0
Encyonema brehmii	0	0	0	0	0
Encyonema caespitosum	0	0	0	0	0
Encyonema elginense	0	0	0	0	0
Encyonema gaeumannii	0	0	0	0	0
Encyonema gracile	0	0	0	0	0
Encyonema hebridicum	0	0	0	0	0
Encyonema lacustre	0	0	0	0	0
Encyonema lunatum	0	0	0	0	0
Encyonema macedonicum	0	0	0	0	0
Encyonema minutum	10	125	0	0	1
Encyonema - minutum-type	0	0	0	0	0
Encyonema muelleri	0	0	0	0	0
Encyonema norvegicum	0	0	0	0	0
Encyonema obscurum	0	0	0	0	0
Encyonema perpusillum	0	0	0	0	0
Encyonema prostratrum	0	0	0	0	0
Encyonema prostratum	0	5	0	0	167
Encyonema reichardtii	0	0	0	0	0
Encyonema silesiacum	95	226	0	0	148
Encyonema triangulum	0	0	0	0	0
"Encyonema ""ventricosum"" agg."	0	0	0	0	0
Encyonopsis	0	0	0	0	0
Encyonopsis aequalis	0	0	0	0	0
Encyonopsis cesatii	0	0	0	0	0
Encyonopsis falaisensis	0	0	0	0	0
Encyonopsis microcephala	0	0	0	0	0
Encyonopsis subminuta	0	0	0	0	0
Entomoneis	0	0	0	0	0
Entomoneis alata	0	0	0	0	0
Entomoneis ornata	0	0	0	0	0
Entomoneis paludosa	0	0	0	0	0
Eolimna	0	0	0	0	0
Eolimna minima	5	51	0	0	4324
Eolimna utermoehlii	0	0	0	0	0
Epithemia	0	0	0	0	0
Epithemia adnata	0	0	0	0	0
Epithemia argus	0	0	0	0	0
Epithemia contorta	0	0	0	0	0
Epithemia frickei	0	0	0	0	0
Epithemia goeppertiana	0	0	0	0	0
Epithemia sorex	0	0	0	0	0
Epithemia turgida	0	0	0	0	0
Eucocconeis depressa	0	0	0	0	0
Eucocconeis flexella	0	0	0	0	0
Eucocconeis laevis	0	0	0	0	0
Eucocconeis lapponica	0	0	0	0	0
Eunotia	0	0	0	0	0
Eunotia arculus	0	0	0	0	0
Eunotia arcus	0	0	0	0	0
Eunotia bactriana	0	0	0	0	0
Eunotia bidentula	0	0	0	0	0
Eunotia bigibba	0	0	0	0	0
Eunotia bilunaris	0	4	0	0	0
Eunotia bilunaris var. linearis	0	0	0	0	0
Eunotia bilunaris var. mucophila	0	0	0	0	0
Eunotia circumborealis	0	0	0	0	0
Eunotia curvata var. linearis	0	0	0	0	0
Eunotia curvata var. subarcuata	0	0	0	0	0
Eunotia denticulata var. denticulata	0	0	0	0	0
Eunotia diodon	0	0	0	0	0
Eunotia elegans	0	0	0	0	0
Eunotia exgracilis	0	0	0	0	0
Eunotia exigua	0	0	0	0	0
Eunotia exigua var. tridentula	0	0	0	0	0
Eunotia faba	0	0	0	0	0
Eunotia fallax	0	0	0	0	0
Eunotia flexuosa	0	0	0	0	0
Eunotia formica	0	0	0	0	0
Eunotia glacialis	0	0	0	0	0
Eunotia hemicyclus	0	0	0	0	0
Eunotia iatriaensis	0	0	0	0	0
Eunotia implicata	0	0	0	0	0
Eunotia incisa	0	0	0	0	0
Eunotia intermedia	0	0	0	0	0
Eunotia islandica	0	0	0	0	0
Eunotia latitaenia	0	0	0	0	0
Eunotia meisteri	0	0	0	0	0
Eunotia microcephala	0	0	0	0	0
Eunotia minor	0	0	0	0	0
Eunotia minutissima	0	0	0	0	0
Eunotia monodon	0	0	0	0	0
Eunotia monodon fo. monodon	0	0	0	0	0
Eunotia monodon var. bidens	0	0	0	0	0
Eunotia muscicola	0	0	0	0	0
Eunotia muscicola var. tridentula	0	0	0	0	0
Eunotia naegelii	0	0	0	0	0
Eunotia nodosa	0	0	0	0	0
Eunotia nymanniana	0	0	0	0	0
Eunotia paludosa	0	0	0	0	0
Eunotia paludosa var. trinacria	0	0	0	0	0
Eunotia parallela	0	0	0	0	0
Eunotia pectinalis	0	0	0	0	0
Eunotia pectinalis fo. impressa	0	0	0	0	0
